order_id,customer_id,order_date,item_name,category,quantity,unit_price,gross_amount,discount,final_amount,channel,payment_method,prep_time_min
1,99,2026-01-31,Chicken Wrap,Wrap,4,219,876,30,846,delivery,card,24
2,323,2025-08-30,Chocolate Shake,Beverage,2,159,318,20,298,takeaway,cash,35
3,12,2025-09-24,Brownie,Dessert,1,109,109,50,59,dine_in,card,11
4,490,2025-08-01,Fries,Sides,3,99,297,20,277,delivery,cash,27
5,446,2026-03-20,Cheese Burst Burger,Burger,1,189,189,20,169,takeaway,card,27
6,400,2026-01-16,Chocolate Shake,Beverage,2,159,318,0,318,dine_in,upi,10
7,82,2025-10-20,Brownie,Dessert,3,109,327,0,327,takeaway,card,26
8,363,2026-03-26,Peri Peri Fries,Sides,1,119,119,0,119,delivery,cash,18
9,283,2025-08-30,Paneer Grill Burger,Burger,1,209,209,30,179,dine_in,card,11
10,328,2025-09-14,Peri Peri Fries,Sides,2,119,238,0,238,takeaway,upi,16
11,274,2025-08-29,Classic Veg Burger,Burger,3,149,447,0,447,takeaway,cash,21
12,167,2025-08-12,Chicken Wrap,Wrap,1,219,219,50,169,dine_in,card,29
13,151,2025-12-14,Classic Veg Burger,Burger,3,149,447,0,447,dine_in,cash,18
14,91,2025-11-09,Classic Veg Burger,Burger,2,149,298,50,248,takeaway,cash,22
15,485,2025-11-09,Brownie,Dessert,2,109,218,20,198,dine_in,card,18
16,105,2026-01-19,Paneer Grill Burger,Burger,2,209,418,0,418,takeaway,cash,23
17,189,2025-09-14,Veg Wrap,Wrap,2,179,358,0,358,delivery,upi,15
18,97,2026-03-09,Paneer Grill Burger,Burger,3,209,627,0,627,dine_in,card,15
19,454,2025-09-29,Chocolate Shake,Beverage,3,159,477,30,447,dine_in,upi,14
20,37,2026-02-04,Fries,Sides,2,99,198,50,148,delivery,upi,33
21,270,2025-09-09,Classic Veg Burger,Burger,2,149,298,0,298,delivery,card,10
22,57,2025-07-07,Classic Veg Burger,Burger,1,149,149,0,149,dine_in,card,14
23,481,2025-07-07,Classic Veg Burger,Burger,1,149,149,30,119,takeaway,card,32
24,44,2025-10-12,Paneer Grill Burger,Burger,3,209,627,0,627,delivery,card,25
25,80,2025-11-02,Classic Veg Burger,Burger,3,149,447,50,397,takeaway,upi,10
26,423,2025-07-23,Cheese Burst Burger,Burger,2,189,378,0,378,dine_in,cash,23
27,73,2025-07-01,Fries,Sides,1,99,99,0,99,delivery,card,14
28,181,2025-11-24,Fries,Sides,3,99,297,20,277,takeaway,cash,13
29,252,2025-09-25,Cheese Burst Burger,Burger,1,189,189,0,189,delivery,card,12
30,316,2025-12-18,Cheese Burst Burger,Burger,1,189,189,0,189,dine_in,cash,14
31,92,2026-02-05,Chicken Wrap,Wrap,1,219,219,30,189,dine_in,cash,23
32,77,2025-12-02,Brownie,Dessert,1,109,109,0,109,dine_in,card,25
33,339,2026-01-05,Peri Peri Fries,Sides,3,119,357,0,357,dine_in,upi,34
34,336,2025-09-14,Cold Coffee,Beverage,2,129,258,20,238,takeaway,card,12
35,58,2026-02-04,Peri Peri Fries,Sides,1,119,119,0,119,delivery,upi,15
36,393,2026-01-14,Cold Coffee,Beverage,1,129,129,20,109,delivery,card,32
37,499,2026-01-28,Brownie,Dessert,3,109,327,0,327,dine_in,cash,17
38,197,2026-01-31,Chicken Wrap,Wrap,3,219,657,30,627,takeaway,upi,22
39,43,2026-02-01,Chicken Wrap,Wrap,2,219,438,50,388,dine_in,upi,21
40,2,2025-10-13,Classic Veg Burger,Burger,1,149,149,30,119,delivery,upi,13
